Question N°,Categorie,Questions,Réponse A,Réponse B,Réponse C,Réponse D,Réponse E,Réponse correcte,Photo / schéma technique,
124,5 - Circuit de freinage - Remorque,A quoi sert une valve anti-addition des efforts ?,Empêcher que les efforts frein de service essieu AV et essieu AR ne s' additionnent,Empêcher que les efforts des freins de service et de stationnement ne s' additionnent,Empêcher que les efforts des freins de parking essieu AV et essieu AR ne s' additionnent,Empêcher que les effort de freinage ne s'additionnent au ralentisseur,Empêcher que les efforts des freins ne s'additionnent au frein d'échappement,B,,
125,5 - Circuit de freinage - Remorque,"En cas de perte d'alimentation électrique sur la remorque équipée d'EBS, la pression de freinage dans les cylindres de frein de la remorque est de combien par rapport à celle de la pédale de frein du tracteur?",de - 30%,de + 50%,de 100%,de +10%,de -10%,C,,
126,5 - Circuit de freinage - Remorque,La tension délivrée par un capteur ABS de type inductif est :,Continue,Alternative,Carrée,tension de type signal RCO,tension de type proportionnel,B,,
127,5 - Circuit de freinage - Remorque,La tension délivrée par un capteur ABS inductif est:,différentielle,Alternative,Carrée,continue,,B,,
128,5 - Circuit de freinage - Remorque,Le jeu entre les poussoirs de frein à disque et la plaquette de frein intérieure doit être compris entre…,1 and 1.5 mm,0.6 and 1.1 mm,0.8 and 1.5 mm,,,B,,
129,5 - Circuit de freinage - Remorque,Le jeu entre les poussoirs du frein à disque et la plaquette de frein intérieure doit se situer entre,"1 et 1,5 mm","0,6 et 1,1 mm","0,8 et 1,5 mm","entre 0,7 et 2 mm","entre 1 et 1,3 mm",B,,
130,5 - Circuit de freinage - Remorque,"Lorsqu' une remorque (sans EBS) est désaccouplée, elle est automatiquement freinée par:",Frein de service,Frein de secours,Frein de stationnement ,le frein de Parc,le frein a main,A,,
131,5 - Circuit de freinage - Remorque,"Lorsqu'il y a une perte sur l'alimentation electrique de L'EBS Remorque, la Pression de freinage dans les cylindre de frein de la remorque est de combien en rapport a celle de la pédale de frein du tracteur ?",correction de - 30%,correction de + 50%,correction de + 100%,correction de +10%,aucune correction ,C,,
132,5 - Circuit de freinage - Remorque,"Lorsqu'on une remorque (équipée d'EBS Knorr-Bremse) est désaccouplée, elle est automatiquement freinée par :",Frein de service,Frein de secours,Frein de stationnement ,le frein a main,le frein a pied,C,,
133,5 - Circuit de freinage - Remorque,"Lorsqu'une remorque (équipée d'EBS Knorr-Bremse) est désaccouplée, elle est automatiquement freinée par:",Frein de service,Frein d'urgence,Frein de stationnement ,Le frein a pied,,C,,
134,5 - Circuit de freinage - Remorque,"Lorsqu'une remorque (sans EBS) est désaccouplée, elle est automatiquement freinée par:",Frein de service,Frein d'urgence,Frein de stationnement ,,,A,,
135,5 - Circuit de freinage - Remorque,Que signifie le port 1-2 sur la vanne de relais d'urgence?,Entrée,Sortie,Entrée ou Sortie,Pilotage,Régulation,C,,
136,5 - Circuit de freinage - Remorque,Que signifie l'orifice 1-2 sur valve relais d'urgence?,Entrée,Sortie,Entrée ou Sortie,le chiffre 12,un pilotage,C,,
137,5 - Circuit de freinage - Remorque,Quel est le bon branchement pour diagnostiquer la semi-remorque équipée du TEBS G2 KNORR-BREMSE?,,,,,,A,,
138,5 - Circuit de freinage - Remorque,"Quel est le rôle de la fonction ""Brake Assist"" du TEBS G2 KNORR-BREMSE?",Diminuer la pression de freinage lors d'un blocage de roue,"Régler de la pression dans les cylindres de frein à la pression maximum quand la pression de commande est >4,5 b",Demande d'assistance ,Augmenter la pression dans les coussins de suspension lors du freinage,"Augmenter la pression de freinage à 6,5 bar",B,,
139,5 - Circuit de freinage - Remorque,"Quel est le rôle de la fonction ""Brake Assist"" TEBS G2 KNORR-BREMSE?",Réduire la pression de freinage lorsqu'une roue est bloquée,"Régler la pression dans les cylindres de frein à la pression maximale lorsque la pression de contrôle est &gt;4,5 b",Demande d'assistance ,,,B,,
140,5 - Circuit de freinage - Remorque,Quelle est la plage d'alimentation opérationnelle du TEBS G2 KNORR-BREMSE?,12 to 24 V,8 to 32 V,5 to 28 V,,,B,,
141,5 - Circuit de freinage - Remorque,Quelle est la plage opérationnelle d'alimentation du TEBS G2 KNORR-BREMSE?,12 à 24 V,8 à 32 V,5 à 28 V,,,B,,
142,5 - Circuit de freinage - Remorque,Quelle est la tolérance d'épaisseur minimale des plaquettes de frein Knorr-Bremse (support + matériau)?,9 + 2 mm,9 + 4 mm,9 + 6 mm,,,A,,
143,5 - Circuit de freinage - Remorque,Quelle est la tolérance mini d'épaisseur des plaquettes de frein Knorr-Bremse (support + matériau)?,9 + 2 mm,9 + 4 mm,9 + 6 mm,,,A,,
144,5 - Circuit de freinage - Remorque,Quelle est l'affectation de ce connecteur sur le boîtier TEBS G2 ?,Capteur de vitesse,Alimentation ISO 7638,Prise In/Out,,,B,,
145,5 - Circuit de freinage - Remorque,Quelle est l'affectation de ce connecteur sur le boîtier TEBS G2?,Capteur de vitesse,Alimentation électrique ISO 7638,Prise d'entrée/sortie,,,B,,
146,5 - Circuit de freinage - Remorque,"Si la vis de réglage de jeu d'un frein à disque Knorr-Bremse est endommagée, pour des raisons de sécurité que devez-vous faire?",Remplacer l'étrier de frein,Réparer le système de réglage de jeu,,,,A,,
147,5 - Circuit de freinage - Remorque,"Si la vis de réglage du jeu d'un frein à disque Knorr-Bremse est endommagée, que devez-vous faire pour des raisons de sécurité?",changer le mécanisme,Réparer le système de réglage du jeu,changer la vis de reglage,ne rien faire ce n'est pas grave,Remplacer l'étrier de frein,D,,
148,5 - Circuit de freinage - Remorque,"Si un camion est équipé d'ABS avec une prise ISO 7638 à 5 broches, quelle fonction ne sera pas opérationnelle sur la remorque équipée d'EBS?",ABS,Fonction auxiliaire,Communication Can,le freinage en cas de coupure de courant,la pression de prédominance du camion,C,,
149,5 - Circuit de freinage - Remorque,"Si un camion est équipé d'ABS avec une prise ISO7638 à 5 plots, quelle est la fonction qui ne sera pas opérationnelle sur la remorque équipée d'EBS ?",ABS,Fonction auxiliaire,Communication CAN,l'harmonisation du freinage,la prédominance du freinage,C,,
150,5 - Circuit de freinage - Remorque,"Sur le schéma de freinage électronique TEBS 4 Knorr-Bremse suivant, quel appareil est marqué de la flèche rouge?",Soupape de mise à niveau,RtR Tapotez vers le haut et vers le bas,Valve de levage d'essieu LAC,,,C,,
151,5 - Circuit de freinage - Remorque,"Sur le schéma de freinage électronique TEBS 4 Knorr-Bremse suivant, quel est l' appareil repéré par la flèche rouge ?",Valve de nivellement,RtR Robinet monte et baisse,LAC valve de relevage d'essieu,,,C,,
152,6 - Moteur - Injection,Combien de courses le CPN5 fait-il par tour par élément de pompe?,1,2,3,,,,,
153,6 - Moteur - Injection,Comment la pression du rail est-elle ajustée dans un système CR en fonction de la charge?,État de l'UI-N,début du financement,pression d'injection,,,,,
154,6 - Moteur - Injection,Que faut-il définir lors de l'installation d'une UI-N?,La course de la came,La mesure de colision,Le début du financement,,,,,
155,6 - Moteur - Injection,Quel est le numéro de commande Bosch pour un CRIN,0 445 110 xxx,0 445 120 xxx,0 445 115 xxx,,,,,
156,6 - Moteur - Injection,Quel est l'effet d'un injecteur avec un retour de carburant trop important ?,Surconsommation de Gas oil du véhicule ,Le cylindre reçoit plus de quantité de gazole injecté,Le véhicule gagne en puissance sous condition de poussée,Le moteur perd de la puissance,il se produit une fumée noir a l'échappement,B,,
157,6 - Moteur - Injection,Quel est l'effet d'un injecteur avec un retour trop important?,Overconsumption of the vehicle ,The cylinder receives more injected diesel fuel,The vehicle gains in power under thrust conditions,,,B,,
158,6 - Moteur - Injection,Quelle affirmation concernant les thermistances NTC ou PTC n'est pas correcte?,Les thermistances PTC et NTC ont la même plage de mesure,"Dans le cas de la CTP, la résistance augmente avec la température","Dans le cas d'une CTN, la résistance diminue avec l'augmentation de la température",,,A,,
159,6 - Moteur - Injection,Quelle affirmation sur CRIN 3.3 est elle correcte?,Reconnaissable de l'extérieur uniquement par le numéro de pièce,Bague d'étanchéité haute pression plus grande,fuite permanente supplémentaire à l'ancre,,,,,
160,6 - Moteur - Injection,Quelle est la pression d’injection dans un système carburant avec une pompe CP2 au ralenti ?,200 Bars ,  600 Bars, 350 Bars,,,C,,
161,6 - Moteur - Injection,Quelle est la pression d'injection dans un système de carburant avec une pompe CP2 au ralenti?,200 Bars ,  600 Bars, 350 Bars,,,C,,
162,6 - Moteur - Injection,Quelle est la pression sur un système avec des pompes enfichables PF45 lors de l'ouverture du DBV (soupape de surpression)?,2400 Bars ,1950 Bars ,1200 Bars,,,B,,
163,6 - Moteur - Injection,Quelle est la pression sur un système avec pompes enfichables PF45 lors de l’ouverture du DBV (limiteur de pression) ?,2400 Bars ,1950 Bars ,1200 Bars,,,B,,
164,6 - Moteur - Injection,Quelle est la résistance interne d'un CRIN?,approx. 1 Ohm,approx. 10 Ohm,approx. 100 Ohm,,,,,
165,6 - Moteur - Injection,Quelles sont les différences entre une pompe d'injection CP2 et CP3?, Il y a une pompe de surpression et pas de capteur de basse pression. ,Il y a une pompe de surpression et un capteur de basse pression. ,Il n'y a pas de pompe de charge ni de capteur de basse pression ,,,C,,
166,6 - Moteur - Injection,Quelles sont les différences entre une pompe injection CP2 et un CP3 ?, Il y a une pompe de gavage et pas de capteur basse pression ,Il y a une pompe de gavage et un capteur basse pression ,Il n’y a pas de pompe de gavage ni de capteur basse pression ,,,C,,
167,6 - Moteur - Injection,Quels caractères peuvent faire partie du code IMA avec un jeu de caractères ASCII (32 caractères)?,Je (comme Ida),nul,Q,,,,,
168,6 - Moteur - Injection,Quels systèmes d'injection sont disponibles chez Euro6?,CR,Pump jet,Unit Pumps,,,,,
169,6 - Moteur - Injection,Qu'est-ce qui s'applique à un DBV sur un camion?,A renouveler après chaque sortie,Maintient une pression résiduelle d'environ la moitié de la pression maximale du rail,Le moteur est arrêté en raison d'une pression excessive sur le rail,,,,,
170,6 - Moteur - Injection,Qu'est-ce qu'un système UI-N montre du signal du PIB?,Avec une soupape de régulation de pression,Avec une soupape de régulation de pression,Avec soupape de surpression,,,,,
171,7 - Moteur - Traitement des gaz d'échappement,A partir de quelle année a-t-on commencé à voir émerger les systèmes appropriés sur les véhicules industriels?,2003,2004,2006,,,B,,
172,7 - Moteur - Traitement des gaz d'échappement,A partir de quelle année commence t'on a voir apparaitre les système adblue sur les véhicuels industriels ,2003,2004,2006,2010,1999,B,,
173,7 - Moteur - Traitement des gaz d'échappement,A partir de quelle témpérature des Gaz d'échappememnt le système peut autoriser l'injection de l'adblue ? ,a Partir de 100°,a partir de 170°,a partir de 300°,a partir de 150°,a partir de 400°,B,,
174,7 - Moteur - Traitement des gaz d'échappement,A quelle limite de température des gaz d'échappement le dosage d'adblue est réduit ? ,a partir de 380°,a partir de 400°,a partir de 500°,a partir de 450°,a partir de 250°,C,,
175,7 - Moteur - Traitement des gaz d'échappement,À quelle limite de température des gaz d'échappement le dosage d'Adblue est-il réduit?,à partir de 380°.,à partir de 400°C,à partir de 500°.,,,C,,
176,7 - Moteur - Traitement des gaz d'échappement,A quelle moment le Denoxtronic ne devrait-il plus fonctionner ?,(0°) Celsius,(-5°) celsius,(-10°) clesius,10°,(-15°),C,,
177,7 - Moteur - Traitement des gaz d'échappement,À quelle température Denxtronic ne devrait-il plus fonctionner?,"KTS Truck, Refractometer, Adapter","KTS Truck, adapter, diagnostic case ","KTS Truck, Diagnostic Case, Refractometer",,,C,,
178,7 - Moteur - Traitement des gaz d'échappement,A quelle température des gaz d'échappement le système peut-il permettre l'injection de l'adblue?,à partir de 100 °,à partir de 170 °,à partir de 320 °,à partir de 450 °,,B,,
179,7 - Moteur - Traitement des gaz d'échappement,À quoi sert la connexion de retour Adblue sur un DNOX2.2?,Pour que la pression puisse être réduite en cas de dépassement,La pompe d'alimentation doit donc toujours fonctionner.,Pour la mise à l'air libre,,,,,
180,7 - Moteur - Traitement des gaz d'échappement,À quoi sert un CCA (Coolant Control Adapter) dans le DNOX2.1?,Pour réduire le débit de retour,Pour la mise à l'air libre,Pour respecter les dimensions d'installation,,,,,
181,7 - Moteur - Traitement des gaz d'échappement,Combien de cycle du système AdBlue devons-nous faire pour que le voyant MIL s’éteigne ?, Il faut faire 3 cycles de dosage en roulant avec le véhicule sans erreur,Il suffit de rouler et le voyant s’éteint au bout de 7 km,Il faut faire 5 cycles de test de dosage à la suite,il faut que le système fonctione 5 jours sans aucun problème,il faut faire 100 km pour que le voyant s'éteigne,A,,
182,7 - Moteur - Traitement des gaz d'échappement,Combien de cycles du système AdBlue devons-nous faire pour que l'indicateur MIL s'éteigne?,Il est nécessaire de faire 3 cycles de dosage en conduisant avec le véhicule sans erreur,Conduisez et la lumière s'éteint après 7 km,Il est nécessaire de faire 5 cycles de test de dosage d'affilée,,,A,,
183,7 - Moteur - Traitement des gaz d'échappement,Comment fonctionne Denoxtronic?,avec de l'air comprimé,avec de la pression hydraulique,avec de l'electricité,avec de l'eau,"avec de l'eau, et l'air comprimé","Exhaust gas components: nitrogen (N2), oxygen (O2), carbon dioxide (CO2), water (H2O)
pollutants in exhaust gases: carbon monoxide (CO), nitrogen oxide (NOx), hydrocarbons, solids (soot, fine particles), sulphate, aldehyde (R-CHO)",,
184,7 - Moteur - Traitement des gaz d'échappement,Comment mesurer la qualité d'AdBlue?,,,,,,,,
185,7 - Moteur - Traitement des gaz d'échappement,Comment réduire la température de conversion des particules dans le DPF d'env. 200 ° C?,Avec Adblue,Avec Eolys,Avec NO2,,,,,
186,7 - Moteur - Traitement des gaz d'échappement,Comment se comporte la pression d'eau d'un DNOX 2.1 après l'arrêt de la pompe?,"Lors de l'utilisation du CCV, la pression chute.","Dans les systèmes avec CCA, la pression est maintenue.","Dans les systèmes sans CCA ni CCV, la pression chute.",,,,,
187,7 - Moteur - Traitement des gaz d'échappement,Comment se fait le diagnostic du DENOXavec KTS?,Rien de particulier à faire ,Le système doit être complètement vidé. ,Le système doit être entièrement remplacé,,,C,,
188,7 - Moteur - Traitement des gaz d'échappement,dans le menu anti-pollution de votre KTS a quoi sert le système ''Display''  ? ,la pression de suralimentation ,la température de l'huile moteur,températures des gaz d'échappement,a paraméter la pompe Adblue,a régler la sensibilité de dosage d'Adblue,A,,
189,7 - Moteur - Traitement des gaz d'échappement,"dans le menu anti-pollution de votre KTS, à quoi sert le système ""Display""?",Consulter l'ensemble du système en cours de fonctionnement,Pour consulter le serveur Bosch pour plus d'informations,Pour configurer un système Denoxtronic,,,A,,
190,7 - Moteur - Traitement des gaz d'échappement,De quels facteurs dépend la pression d'injection de l'adblue ?,de la pression de suralimentation ,de la température de l'huile moteur,des températures des Gaz d'echappement,De la température des gaz d'admission,de la température de l'air ambiant,C,,
191,7 - Moteur - Traitement des gaz d'échappement,De quels facteurs dépend la pression d'injection de l'adblue?,la pression de suralimentation ,la température de l'huile moteur,températures des gaz d'échappement,,,C,,
192,7 - Moteur - Traitement des gaz d'échappement,De quels facteurs dépend la pression d'injection requise du réducteur?,"CO, HC, NOx et CO²","  CO, HC et NOx", CO et HC,,,C,,
193,7 - Moteur - Traitement des gaz d'échappement,L’AdBlue est composé d’eau et d’urée. Quel est le pourcentage d’urée dans la solution ?,32.5 %,   17.5 %,    22.5 %,0.425,0.525,A,,
194,7 - Moteur - Traitement des gaz d'échappement,L'AdBlue est composé d'eau et d'urée. Quel est le pourcentage d'urée dans la solution?,32.5 %,   17.5 %,    22.5 %,,,A,,
195,7 - Moteur - Traitement des gaz d'échappement,Nommez les composants polluants contenus dans les gaz d'échappement des moteurs diesel?,"CO, HC, NOx et CO²","  CO, HC et NOx", CO et HC,,,"Exhaust gas components: nitrogen (N2), oxygen (O2), carbon dioxide (CO2), water (H2O)
pollutants in exhaust gases: carbon monoxide (CO), nitrogen oxide (NOx), hydrocarbons, solids (soot, fine particles), sulphate, aldehyde (R-CHO)",,
196,7 - Moteur - Traitement des gaz d'échappement,Où DNOX1 mélange-t-il l'air comprimé avec Adblue?,Dans le module de convoyage,Dans le module de dosage,Dans l'atomiseur,,,,,
197,7 - Moteur - Traitement des gaz d'échappement,Où peut-on installer le restricteur pour limiter la quantité de retour dans le DNOX 2.1?,Dans le CCV,Dans le module de dosage,Dans le réservoir,,,,,
198,7 - Moteur - Traitement des gaz d'échappement,Pourquoi faut-il avoir une phase de ré-aspiration?,"KTS Truck, Refractometer, Adapter","KTS Truck, adapter, diagnostic case ","KTS Truck, Diagnostic Case, Refractometer",,,C,,
199,7 - Moteur - Traitement des gaz d'échappement,Quand le Denoxtronic a-t-il un fonctionnement limité?,Lorsque les gaz d'échappement ont une température inférieure à 100 ° C et supérieure à 600 ° C,Lorsque les gaz d'échappement ont une température inférieure à 100 ° C et supérieure à 600 ° C...,Lorsque les gaz d'échappement ont une température inférieure à 300 ° C et supérieure à 400 ° C,,,B,,
200,7 - Moteur - Traitement des gaz d'échappement,Quand le Denoxtronic doit-il cesser de fonctionner?,Le post-catalyseur et le système de dosage ? ,Le convertisseur catalytique et le système de dosage ,Le module de mesure et le pré-catalyseur ,,,B,,
201,7 - Moteur - Traitement des gaz d'échappement,Que devons-nous faire après avoir mis des ventilateurs diesel dans le réservoir d'AdBlue?,"En fonctionnement normal, il représente 4 à 6% de la consommation de carburant","En fonctionnement normal, il représente 6 à 8% de la consommation de carburant","En fonctionnement normal, il représente 8 à 10% de la consommation de carburant","En fonctionnement normal, il représente 2 à 3 % de la consommation de carburant",Moins de 2% de la consommation de carburant,B,,
202,7 - Moteur - Traitement des gaz d'échappement,Que devons-nous faire après avoir mis des ventilateurs diesel dans le réservoir d'AdBlue?...,1 bar (pression atmosphérique),"1,2 bar",en fonction du circuit d'air 4 ou 8 bar,,,,,
203,7 - Moteur - Traitement des gaz d'échappement,Que se passe-t-il en cas de dépassement avec un DNOX2.2?,La polarité de la pompe d'alimentation est inversée,La vanne de dosage est actionnée,La vanne 4/2 voies est actionnée,,,,,
204,7 - Moteur - Traitement des gaz d'échappement,Quel composant génère la pression pour le Departronic?,Les éléments haute pression de la pompe CR,Une pompe à carburant électrique,Une pompe à engrenages,,,,,
205,7 - Moteur - Traitement des gaz d'échappement,Quelle est la bonne connexion pour diagnostiquer la remorque équipée de TEBS G2 KNORR-BREMSE?,A des températures extérieures inférieures à -5°C,A des températures extérieures inférieures à -10°C,A des températures extérieures inférieures à -20°C,,,B,,
206,7 - Moteur - Traitement des gaz d'échappement,Quelle est la fonction de L’EGR sur la ligne d’échappement ?,Diminuer le gaz carbonique (CO²),Diminuer les oxydes d’azote  (NOx),Diminuer les particules  (PM),,,B,,
207,7 - Moteur - Traitement des gaz d'échappement,Quelle est la fonction De la valve VCC sur un système Denoxtronic?,il est utilisé pour renvoyer l'AdBlue dans son réservoir,il est utilisé pour refroidir l'injecteur d'Adblue ,il est utilisé pour pulvériser l'Adblue ,,,B,,
208,7 - Moteur - Traitement des gaz d'échappement,Quelle est la fonction de l'EGR sur le système d'échappement?,Réduire le dioxyde de carbone (CO²),Réduire les oxydes d'azote (NOx),Réduire les particules (PM),,,B,,
209,7 - Moteur - Traitement des gaz d'échappement,Quelle est la fonction du capteur de pression différentielle ?,Mesurer le Masse de suies dans le FAP ,Mesurer le débit de particules dans le FAP,Mesurer la pression dans le FAP,,,C,,
210,7 - Moteur - Traitement des gaz d'échappement,Quelle est la fonction du capteur de pression différentielle?,Mesurer la masse de suie dans le FAP,Mesurer le débit de particules dans le FAP,Mesurer la différence de pression des Gaz dans le FAP,mesurer la quantité de suie dans le FAP ,,C,,
211,7 - Moteur - Traitement des gaz d'échappement,Quelle est la fonction du CCA?,,,,,,"Nitrogen oxides can be reduced with ammonia 
To this end, the system injects AdBlue upstream of the SCR catalytic converter ",,
212,7 - Moteur - Traitement des gaz d'échappement,Quelle est la fonction du CCV sur un système Denoxtronic ?,elle sert e renvoyer l'AdBlue dans son réservoir,elle sert à refroidir l'injecteur d'Adblue ,elles sert a pulvérisée l'adblue ,,,B,,
213,7 - Moteur - Traitement des gaz d'échappement,Quelle est la Pression du circuit d'injection d'adBlue sur un système Denoxtronic 2.2,4.5 Bars,5.5 Bars,9 Bars,,,C,,
214,7 - Moteur - Traitement des gaz d'échappement,Quelle est la pression du système d'injection d'adBlue sur un système Denoxtronic 2.2?,4.5 Bars,5.5 Bars,9 Bars,,,C,,
215,7 - Moteur - Traitement des gaz d'échappement,Quelle est la valeur moyenne de consommation d'AdBlue en rapport a celle du carburant ?,2 à 3% ,3 à 4%,5 à 6 %,7 à 8 %,9 à 10 %,D,,
216,7 - Moteur - Traitement des gaz d'échappement,Quelle est Le dosage moyen d’AdBlue par rapport à la consommation de carburant ?,    de 1 à 3 %,de    3 à 5 % ,de  6 à 8 % ,,,C,,
217,7 - Moteur - Traitement des gaz d'échappement,Quelle est le dosage moyen d'AdBlue en % par rapport à la consommation de carburant?,   from 1 to 3 %,from 3 to 5 % ,from  6 to 8 % ,,,C,,
218,7 - Moteur - Traitement des gaz d'échappement,Quelle tâche un Oxi-Cat ne prend-il pas en charge?,brûleur catalytique,Réduction des Nox,Réduction de la masse des particules,,,,,
219,7 - Moteur - Traitement des gaz d'échappement,Quelles sont les deux parties les plus importantes du système SCR?,,,,,,"Nitrogen oxides can be reduced with ammonia 
To this end, the system injects AdBlue upstream of the SCR catalytic converter ",,
220,7 - Moteur - Traitement des gaz d'échappement,Quels polluants sont traités par le catalyseur sur les moteurs industriels ?,"CO, HC, NOx et CO²","  CO, HC et NOx", CO et HC,,,C,,
221,7 - Moteur - Traitement des gaz d'échappement,Quels polluants sont traités par le catalyseur sur les moteurs industriels?,Le post-catalyseur et le système de dosage ? ,Le convertisseur catalytique et le système de dosage ,Le module de mesure et le pré-catalyseur ,,,B,,
222,7 - Moteur - Traitement des gaz d'échappement,"Quels sont les moyens requis pour le diagnostic du DENOX sur le véhicule?
Camion KTS, boîtier de diagnostic, réfractomètre ",Il est nécessaire de faire 5 cycles de test de dosage d'affilée,avec le système Display,avec une sone Lambda,avec un voltemètre,avec une sonde de température,B,,
223,7 - Moteur - Traitement des gaz d'échappement,Quels sont les processus d'injection?,A une température extérieure inférieure à -5°C,A une température extérieure inférieure à -10°C,A une température extérieure inférieure à -20°C,,,B,,
224,7 - Moteur - Traitement des gaz d'échappement,Quels systèmes de post-traitement des gaz d'échappement sont utilisés dans les véhicules industriels diesel?,,,,,,"DOC (diesel oxidation catalytic converter) 
DPF (particulate filter)
SCR (selective catalytic reduction system) - System with Denoxtronic 
ASC (ammoniacal slip catalytic converter or otherwise: CUC = Clean Up Catalyst)",,
225,7 - Moteur - Traitement des gaz d'échappement,Quels systèmes de traitement des gaz d’échappement sont montés sur les moteur diesels des véhicules industriels ?,Convertisseur catalytique à oxydation / Convertisseur catalytique SCR / Filtre à Particules, Vanne EGR / Filtre à Particules,Convertisseur catalytique à oxydation / vanne EGR,,,A,,
226,7 - Moteur - Traitement des gaz d'échappement,Quels systèmes de traitement des gaz d'échappement sont installés sur les moteurs diesel des véhicules industriels?,Oxidation catalytic converter / SCR catalytic converter / Particulate filter, EGR Valve / Particulate Filter, Oxidation catalytic converter / EGR valve,,,A,,
227,7 - Moteur - Traitement des gaz d'échappement,Quele est la fonction du VCC? ,,,,,,,,
228,8 - Transmission,Dans quelles valeurs la course d'approche du GS est-elle mesurée? (AS-Tronic),en Ink.,en mm,en cm,en Dixieme de mm,en pouce,A,,
229,8 - Transmission,Différence entre la transmission OD et DD,Le poids des variantes de boîte de vitesses est différent,Autres rapports de démultiplication,OD = la vitesse d'entrée est inférieure à la vitesse de sortie,DD = la vitesse d'entrée est inférieure à la vitesse de sortie,,B + C,,
230,8 - Transmission,Où puis-je trouver la liste de contrôle pour la transmission Traxon?,Portail  web Alltrucks,Dossier Gds 3000,intégré dans le Testman et rempli électroniquement (eChecklist),Aucune liste de contrôle n'est disponible sous aucune forme,,C,,
231,8 - Transmission,Puis-je donner une impression de la liste des lubrifiants au client ?,"Non, il est mis à jour tous les trois mois","Oui, fortement recommandé","Oui, si le client le souhaite",pas souhaité car mise a jour ,je ne sais pas,A,,
232,8 - Transmission,Quelle est la pression de travail maximale du ConAct? (TraXon),11 bar,20 bar,"7,5 bar","13,5 bar","5,6 bar",D,,
233,8 - Transmission,"Quelle est la taille du programme de GS 3.0, 3.3 et 3.6 (AS-Tronic)","GS3.0 1513 KB, GS 3.3 3672 KB, GS 3.6 4500 KB",all are almost the same size,"GS3.0 1513 KB, GS 3.0 and 3.6 2672 KB",,,C,,
234,8 - Transmission,Quelle procédure dans le Testman doit être effectué après l'installation d'un nouvel embrayage sur boite de vitesse type TraXon?,"Adaptation accélérée de l'embrayage, point d'auto-adaptation",Tester la pression de pompe,Tester le comportement des groupes,Embrayage usagé installé,"Point de fermeture de l'embrayage à entrée manuelle, étalonnage du capteur d'inclinaison",A ,,
235,8 - Transmission,Quels systèmes de commande de débrayage connaissez vous ?,Convertisseur de couple,Système tiré,Système poussé,Système articulé,système a bascule,B + C,,
236,8 - Transmission,Une purge d'embrayage manuelle est-elle possible (TraXon),Oui et cela ne peut être fait que manuellement,"Oui, mais uniquement dans les cas d'urgence.Les saignements normaux doivent être exécutés via le testman ZF",Non ce n'est pas possible,"oui, mais n'effectuez en aucun cas cette action",,B,,
